Time resolution is 1 ps
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000000000000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000000001010.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000000010100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000000011110.in_2=1 ; sel=0 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000000111100.in_2=0 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000001000110.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000001010000.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000001011010.in_2=0 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000001100100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000001101110.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000001111000.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010000010.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010001100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010010110.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010100000.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010101010.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010110100.in_2=0 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000010111110.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000011001000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000011010010.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000011011100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000011100110.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000011110000.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000011111010.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000100000100.in_2=1 ; sel=0 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000100011000.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000100101100.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000100110110.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101000000.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101001010.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101010100.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101011110.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101101000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101110010.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000101111100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000110000110.in_2=1 ; sel=0 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000110010000.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000110011010.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000110100100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000110101110.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000110111000.in_2=0 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000111000010.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000111001100.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000111100000.in_2=0 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000111110100.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000000111111110.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001000001000.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001000011100.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001000100110.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001000110000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001000111010.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001001000100.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001001011000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001001100010.in_2=1 ; sel=0 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001001101100.in_2=1 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001001110110.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010000000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010001010.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010010100.in_2=1 ; sel=0 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010011110.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010101000.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010110010.in_2=1 ; sel=1 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001010111100.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001011000110.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001011010000.in_2=0 ; sel=1 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001011011010.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001100000010.in_2=1 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001100001100.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001100100000.in_2=0 ; sel=0 ，out=00
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001100101010.in_2=0 ; sel=1 ，out=01
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001100110100.in_2=0 ; sel=0 ，out=10
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001100111110.in_2=1 ; sel=0 ，out=11
@time ， ot:in_1=0000000000000000000000000000000000000000000000000000001101001000.in_2=1 ; sel=1 ，out=11
